household_income,leisure_purpose,leisure_purpose_2,weekday_avg_leisure_time,weekend_avg_leisure_time,rest_recreation_rate,hobby_rate,self_improvement_rate,social_relationship_rate,leisure_activity_1,leisure_activity_2,leisure_activity_3,leisure_activity_4,leisure_activity_5
0,1,4,3,5,60,10,20,10,1,6,6,7,2
3,1,6,5,5,80,10,5,5,7,7,7,3,3
0,6,7,4,6,60,15,5,20,7,2,3,6,6
2,7,3,2,12,30,30,0,40,2,7,7,6,3
4,8,4,2,6,10,40,10,40,2,1,7,6,1
0,7,5,3,5,0,50,50,0,5,1,2,2,2
3,4,7,10,10,20,50,20,10,1,1,3,7,7
4,4,3,4,5,20,20,10,50,2,2,6,8,3
0,6,4,2,1,50,20,20,10,7,0,0,0,0
2,1,3,12,10,90,0,0,10,6,6,4,4,5
0,5,3,1,3,10,20,20,50,4,5,7,7,3
2,4,3,5,2,20,0,10,40,5,6,6,1,2
4,7,1,2,1,10,90,0,0,2,2,3,0,0
4,3,8,1,1,50,0,0,50,6,1,7,7,0
4,8,3,10,10,20,20,0,60,6,6,6,2,2
4,7,6,4,8,50,0,50,0,1,3,5,0,0
3,5,4,3,8,30,30,40,0,2,5,4,0,0
2,1,3,2,2,100,0,0,0,7,7,0,0,0
4,7,1,5,6,50,50,0,0,2,1,2,1,0
4,7,3,8,16,20,20,20,20,2,2,2,3,0
4,4,7,2,1,50,50,0,0,2,7,3,4,0
4,1,7,4,4,50,30,20,0,1,7,7,2,3
3,3,8,4,8,0,0,0,100,3,3,2,2,2
4,3,4,2,3,60,10,10,20,2,2,3,3,6
0,6,4,10,10,100,0,0,0,1,7,7,7,0
0,1,6,5,5,50,20,20,10,7,1,1,3,1
4,3,4,3,10,40,0,0,30,1,7,3,7,3
2,6,1,3,6,60,40,0,0,3,7,2,0,0
4,8,3,4,5,30,20,0,50,3,1,0,0,0
3,1,3,2,4,85,5,5,5,1,1,1,2,7
1,4,7,1,3,20,30,20,30,2,2,2,6,7
0,7,5,7,6,30,0,20,50,1,1,2,4,8
3,1,4,2,12,80,0,0,20,1,3,3,3,3
4,7,1,3,10,0,80,0,20,2,3,3,4,4
0,1,3,1,5,5,5,10,80,4,5,1,1,4
0,1,3,2,5,30,0,0,70,8,7,8,7,1
3,5,7,8,10,15,40,30,15,4,4,4,4,3
0,8,7,3,4,10,30,10,30,7,2,0,0,0
4,1,7,8,8,30,40,0,30,3,3,0,0,0
2,1,4,2,2,10,70,5,15,2,2,6,6,0
3,6,7,3,6,60,20,10,10,1,2,3,3,6
3,4,7,1,3,50,30,10,10,7,2,2,4,1
0,6,2,2,12,50,30,0,20,7,0,0,0,0
0,4,3,3,5,40,10,10,40,6,1,1,8,5
4,6,1,2,6,30,50,20,0,5,5,4,3,7
0,3,0,1,2,40,10,20,30,7,3,0,0,0
0,3,8,2,2,40,40,0,20,1,7,6,0,0
0,4,6,6,8,50,10,20,20,1,4,4,2,2
3,6,1,3,10,70,5,5,10,7,7,1,2,2
3,2,4,0,5,10,0,10,80,4,3,4,0,0
2,4,1,3,3,20,20,30,30,2,6,3,1,0
0,6,1,3,6,60,20,0,20,7,1,1,2,2
4,3,4,3,6,60,20,0,20,3,6,5,7,4
0,5,7,2,3,25,60,10,5,2,2,2,5,4
0,7,2,4,10,100,0,0,0,7,0,0,0,0
0,7,2,2,5,20,20,40,20,4,0,0,0,0
1,6,4,2,6,30,10,30,30,1,7,7,3,7
4,7,3,4,8,80,0,10,10,7,6,4,0,0
0,4,8,3,15,60,0,0,40,1,6,7,7,7
1,7,1,3,0,50,50,0,0,7,0,0,0,0
0,6,3,5,12,30,10,0,60,4,2,0,0,0
3,6,5,4,6,30,10,20,40,7,7,1,2,5
0,4,6,6,6,33,34,0,33,2,1,7,8,1
3,3,1,5,4,30,10,30,30,3,1,4,4,3
0,6,1,3,4,40,40,0,20,1,4,0,0,0
4,1,6,6,10,5,5,0,90,5,0,0,0,0
0,7,3,2,5,30,50,10,10,1,7,1,7,2
0,1,6,3,6,50,0,50,0,7,3,1,1,7
3,4,1,7,12,80,0,5,15,7,1,1,7,2
4,7,2,2,5,0,0,100,0,2,1,1,0,0
0,3,8,5,2,10,10,70,10,4,4,0,0,0
1,6,1,10,10,70,5,5,20,7,0,0,0,0
0,4,1,5,10,0,0,0,90,1,0,0,0,0
4,4,7,3,4,30,30,20,20,2,3,6,0,0
0,6,4,1,2,80,20,0,0,2,1,7,7,0
0,3,6,2,8,30,20,0,50,6,2,2,2,3
4,4,8,3,12,40,10,0,50,6,2,1,7,7
0,6,1,3,8,50,30,0,20,1,7,1,7,5
4,4,3,2,3,50,0,0,50,1,6,1,6,6
4,6,4,2,5,50,10,10,30,2,3,0,0,0
4,1,5,5,4,30,30,30,10,4,1,7,4,7
4,1,6,1,5,30,0,40,30,4,3,7,7,7
0,4,6,8,16,75,25,0,0,1,3,0,0,0
0,1,6,3,10,60,30,0,10,1,3,1,4,7
0,1,6,3,12,20,20,20,20,6,7,3,0,0
0,5,6,2,2,50,25,0,25,7,7,7,6,4
0,7,0,2,9,40,60,0,0,4,0,0,0,0
0,6,3,14,18,30,60,10,0,6,7,1,7,2
0,1,5,1,3,10,20,20,50,8,0,0,0,0
0,1,3,1,2,15,10,0,45,2,3,1,6,3
2,7,1,1,1,10,40,20,20,2,4,8,7,3
4,3,7,4,3,50,15,20,15,2,2,2,2,7
0,6,1,2,7,50,20,0,30,7,7,1,7,6
2,4,7,2,15,20,60,0,20,2,2,8,0,0
3,1,4,1,5,40,20,20,20,2,7,1,1,7
3,3,1,2,4,50,20,20,10,3,3,0,0,0
0,8,4,4,4,30,0,0,70,6,1,4,7,0
3,6,1,2,10,20,0,0,80,1,6,7,7,3
0,6,1,5,5,30,0,0,70,3,3,3,0,0
3,3,1,1,3,50,50,0,0,1,7,7,7,3
0,3,7,1,3,50,0,30,20,7,7,1,4,8
2,3,4,6,8,20,20,10,50,6,6,2,2,6
4,3,7,1,6,40,10,10,20,3,0,0,0,0
4,4,5,4,4,10,80,10,0,4,3,1,0,0
4,3,1,5,5,40,0,10,50,3,1,7,1,6
4,8,1,1,10,20,30,0,50,6,3,4,2,7
4,3,4,0,10,20,10,20,30,3,3,4,0,0
0,3,4,3,5,10,10,0,80,6,6,2,3,3
3,7,1,3,8,0,60,0,40,2,2,7,7,2
3,8,1,3,4,40,20,10,30,4,6,0,0,0
4,3,1,2,10,30,20,20,30,6,6,8,3,3
2,5,7,10,9,20,20,50,10,2,2,3,6,7
0,6,3,2,2,30,20,30,20,1,1,3,7,3
0,1,4,5,5,20,10,40,30,4,3,6,5,4
0,5,8,3,10,10,20,40,30,5,6,6,4,3
0,1,8,5,10,80,5,0,15,1,1,6,7,1
0,1,3,2,3,40,10,30,20,4,3,6,0,0
0,3,1,1,2,40,30,20,10,1,7,0,0,0
4,3,1,2,3,40,20,10,30,3,7,7,6,6
0,3,1,6,6,30,20,40,10,3,1,1,6,3
0,6,5,2,5,50,0,30,20,4,3,0,0,0
2,4,3,2,10,20,60,10,10,4,1,3,7,1
2,7,5,5,8,35,50,10,5,2,7,4,8,3
3,5,4,2,2,30,10,10,50,2,1,4,0,0
2,6,1,4,2,30,0,50,20,3,0,0,0,0
4,7,0,4,6,20,0,20,30,1,1,1,2,8
4,1,3,1,5,50,20,10,20,1,6,3,2,4
0,3,1,3,6,20,20,20,40,6,5,4,2,2
0,4,6,1,1,60,40,0,0,7,7,3,3,3
0,1,6,4,4,50,0,0,0,1,7,7,7,3
0,1,7,1,3,50,0,30,20,3,7,4,8,3
1,3,2,3,5,40,0,30,30,7,0,0,0,0
0,7,4,2,4,30,30,30,10,2,4,3,2,1
1,7,2,12,12,70,20,0,10,3,6,2,2,7
0,3,2,3,8,20,0,0,80,7,3,1,4,7
0,6,4,2,10,20,50,10,20,2,2,3,0,0
0,3,4,2,6,20,10,0,70,7,4,7,2,3
4,4,8,10,10,30,50,0,20,3,7,7,4,0
0,7,1,5,5,0,0,50,50,4,2,8,3,3
3,1,5,2,2,25,25,25,25,3,4,3,8,6
3,1,8,14,3,60,10,0,30,3,3,3,0,0
3,6,4,0,12,0,100,0,0,3,0,0,0,0
0,7,8,3,3,50,0,0,50,1,0,0,0,0
2,6,0,1,0,0,0,0,100,3,0,0,0,0
0,6,3,5,14,100,0,0,0,1,7,1,7,8
0,6,1,8,6,80,20,0,0,1,1,3,2,7
4,1,5,1,2,20,50,30,0,5,7,3,6,3
0,6,5,1,2,40,20,0,40,1,0,0,0,0
2,3,1,1,1,50,0,0,50,1,7,7,7,3
3,1,6,2,2,60,20,10,10,2,2,7,1,0
0,1,4,1,10,100,0,0,0,1,3,0,0,0
2,7,1,6,8,40,25,15,20,7,1,1,1,1
3,1,3,3,3,50,50,0,0,1,1,2,7,3
3,6,3,2,5,50,10,10,30,1,7,7,4,2
3,5,4,5,5,25,5,60,10,5,1,2,4,3
0,4,1,3,5,40,0,0,60,1,3,7,2,2
3,1,4,4,6,70,20,0,10,3,3,3,4,5
4,7,4,3,5,30,50,10,10,7,2,2,0,0
1,3,4,2,3,20,10,0,70,8,6,7,4,1
3,1,6,3,10,50,40,5,5,4,7,1,1,7
0,1,3,2,6,40,20,20,20,7,1,7,5,0
4,3,4,2,4,35,35,20,10,1,1,3,5,1
4,1,7,3,8,45,5,10,10,7,7,5,6,7
0,1,4,3,6,10,60,10,10,7,4,4,8,2
0,7,5,2,2,50,0,0,50,2,0,0,0,0
4,1,6,6,4,30,0,60,10,3,1,7,3,7
3,1,4,2,8,50,30,0,20,3,1,2,1,8
4,5,2,1,2,30,20,20,30,2,6,0,0,0
3,3,1,1,0,80,0,0,20,7,6,0,0,0
3,4,1,2,2,30,40,20,10,1,3,7,4,4
3,1,4,3,3,80,0,0,0,6,3,6,0,0
4,1,7,3,5,50,10,10,30,2,6,1,0,0
3,4,5,3,2,0,20,50,30,4,8,1,0,0
0,7,1,4,8,60,40,0,0,3,0,0,0,0
2,3,4,3,1,40,0,10,50,6,7,7,1,2
3,6,1,4,6,100,0,0,0,7,3,3,7,3
3,3,1,2,14,40,0,0,60,2,2,7,6,8
3,8,1,1,5,10,10,0,80,7,3,7,6,2
4,1,3,3,6,70,0,0,30,2,6,2,6,3
3,3,8,4,8,10,70,0,20,6,1,1,1,0
3,7,1,3,3,40,20,10,30,2,2,3,4,0
0,4,2,4,3,55,5,20,20,3,4,4,0,0
0,1,2,4,8,40,20,0,40,4,0,0,0,0
0,4,1,4,8,30,40,10,20,2,1,4,1,0
4,6,1,2,5,60,20,10,10,1,1,1,7,2
4,3,1,3,5,50,20,0,0,3,7,3,3,0
0,4,3,5,3,10,10,10,10,3,0,0,0,0
0,1,4,5,5,100,0,0,0,1,1,1,0,0
2,8,5,3,8,10,15,70,5,5,4,3,6,6
0,5,2,3,3,100,0,0,0,2,0,0,0,0
3,1,3,2,5,30,30,10,30,3,7,2,4,4
0,1,8,9,14,90,0,0,10,1,1,7,4,1
0,6,4,1,2,10,50,30,10,3,6,0,0,0
4,3,4,2,1,80,5,5,10,1,1,3,6,7
0,3,7,1,5,10,70,0,20,2,2,4,8,3
0,4,1,5,10,60,20,10,10,1,6,2,6,3
2,1,3,1,2,100,0,0,0,1,0,0,0,0
2,3,7,8,3,25,40,15,20,3,8,3,2,6
0,1,5,1,2,50,50,0,0,2,7,3,0,0
1,7,1,1,1,0,0,0,100,8,4,3,7,4
0,2,1,0,1,50,0,0,50,6,0,0,0,0
4,1,6,4,8,20,70,0,10,3,7,3,7,1
3,6,7,3,5,10,30,10,50,2,3,0,0,0
0,6,1,3,3,100,0,0,0,7,4,0,0,0
2,3,6,2,2,33,33,0,34,7,1,7,7,0
0,1,6,6,10,90,5,5,0,7,1,1,7,7
0,8,1,3,8,20,40,0,40,8,2,0,0,0
0,1,7,2,5,50,50,0,0,2,6,0,0,0
0,4,1,5,15,30,30,10,30,2,3,1,7,3
0,1,6,4,12,60,5,0,35,3,7,2,1,7
3,3,7,1,1,50,10,10,30,2,3,8,0,0
4,4,7,1,3,50,0,0,50,1,4,1,1,3
0,3,7,2,6,10,30,10,50,2,6,8,7,2
0,4,6,3,8,50,0,50,0,7,7,1,0,0
3,4,6,3,10,75,10,10,5,3,0,0,0,0
3,4,2,2,3,70,0,0,30,7,1,7,7,3
0,3,0,3,8,20,0,0,80,2,5,3,0,0
0,1,2,4,14,100,0,0,0,3,0,0,0,0
4,1,4,3,2,100,0,0,0,6,7,6,3,4
1,7,1,2,3,40,25,25,10,2,4,4,2,0
0,1,7,5,8,50,20,30,0,3,2,2,7,1
4,1,6,1,4,70,30,0,0,7,3,3,3,7
4,4,6,5,8,30,10,30,30,7,7,7,6,4
0,7,5,5,4,30,30,0,40,2,2,8,6,2
4,3,1,3,5,30,30,30,10,2,2,4,3,3
0,7,3,4,4,25,25,25,25,2,7,8,6,6
4,4,3,3,4,80,0,0,20,2,6,3,7,7
2,4,1,2,4,10,70,20,0,4,1,2,1,3
2,4,8,1,2,20,10,0,70,6,8,0,0,0
3,1,6,3,7,20,20,10,50,1,1,6,7,3
4,4,3,4,12,50,0,0,50,3,6,3,6,7
2,1,7,2,3,20,30,20,30,2,2,3,1,3
0,1,4,10,10,40,20,40,0,2,2,1,6,1
4,8,3,2,10,50,0,40,10,3,4,0,0,0
0,8,2,2,2,10,10,30,50,1,0,0,0,0
3,5,8,3,5,10,10,30,50,8,3,3,6,7
0,1,6,6,8,60,10,10,20,7,4,2,0,0
0,6,3,3,10,60,10,0,20,1,7,7,3,3
0,4,6,3,3,10,70,10,10,1,4,1,7,7
4,1,6,1,4,100,0,0,0,7,7,7,2,2
1,1,4,10,11,80,0,0,20,1,6,1,6,7
1,4,3,2,1,50,0,0,50,4,0,0,0,0
0,6,5,1,3,30,30,20,20,7,1,3,7,0
0,7,4,1,2,40,10,20,30,3,7,3,6,3
2,3,6,2,3,80,0,0,20,2,0,0,0,0
3,1,3,2,4,20,0,30,30,8,4,6,1,1
4,7,3,6,6,30,10,40,20,3,4,3,3,4
0,4,1,2,4,5,0,30,20,7,3,6,6,6
2,3,6,1,5,0,40,0,0,3,2,3,0,0
3,3,1,2,8,40,10,20,30,4,4,0,0,0
4,3,1,4,8,50,20,10,20,6,6,1,7,3
4,3,1,2,4,30,40,10,10,3,1,2,7,1
0,4,7,2,6,60,0,0,40,2,3,7,1,3
4,1,4,4,8,50,30,0,20,6,1,7,2,4
0,4,7,5,7,30,30,30,10,4,4,6,1,6
3,1,3,6,10,20,20,20,20,2,6,3,7,1
0,6,1,4,6,70,0,0,30,7,6,6,0,0
2,4,5,5,10,10,10,50,30,1,4,7,0,0
0,4,9,2,10,10,20,10,30,2,7,3,4,7
4,9,0,0,3,10,0,0,10,8,3,3,0,0
3,5,4,3,5,30,10,30,30,2,7,4,7,1
2,5,3,2,4,30,0,60,10,6,1,3,0,0
3,6,7,1,1,10,30,10,50,2,7,4,0,0
3,4,3,10,10,30,50,10,10,6,6,2,7,6
3,3,7,8,4,20,0,0,0,2,2,2,3,7
4,6,1,1,3,90,10,0,0,4,3,0,0,0
1,7,1,5,3,70,10,10,10,7,3,6,7,7
0,6,4,3,12,50,0,50,0,7,7,1,4,4
0,7,1,1,1,50,50,0,0,2,3,0,0,0
0,6,3,3,2,50,10,10,30,6,3,2,4,4
0,1,4,2,4,50,10,10,30,7,4,4,4,3
4,4,5,2,1,50,0,50,0,5,2,3,0,0
4,7,8,2,4,30,10,20,20,7,3,1,6,8
4,3,4,6,4,40,5,35,20,1,7,1,1,4
0,4,7,10,10,20,30,30,20,2,7,7,2,6
0,6,2,2,8,100,0,0,0,3,4,4,0,0
1,1,7,4,4,20,30,0,50,2,8,3,0,0
0,1,7,3,5,50,20,20,10,4,1,2,2,2
0,4,6,3,5,70,15,10,5,1,7,6,4,6
4,1,3,8,2,95,0,0,5,7,7,7,1,7
4,3,0,2,6,10,30,10,50,4,4,4,0,0
0,6,4,5,5,100,0,0,0,7,1,1,7,6
2,3,8,4,4,30,10,0,60,7,2,1,3,6
2,5,8,2,4,10,10,60,20,8,0,0,0,0
3,5,1,4,8,20,0,60,20,5,1,6,0,0
2,6,1,2,2,60,0,40,0,3,1,7,7,7
0,4,1,3,5,10,50,30,5,2,7,2,2,2
0,2,4,3,5,40,0,20,40,1,7,7,1,0
2,1,0,1,2,0,0,0,0,3,0,0,0,0
4,4,0,6,12,0,100,0,0,3,6,6,0,0
0,2,1,5,5,60,0,30,10,2,4,2,3,7
3,8,4,2,3,100,0,0,0,6,4,0,0,0
0,4,1,2,5,40,0,0,60,2,7,1,6,0
0,6,5,2,6,50,0,50,0,5,3,7,1,4
0,1,2,5,10,80,0,0,20,1,6,7,3,0
2,3,0,3,10,0,0,0,0,3,4,7,0,0
2,4,3,3,5,40,5,15,40,3,7,4,7,3
3,7,4,6,10,50,10,20,20,1,4,1,4,3
0,4,2,2,8,30,10,10,50,1,1,7,0,0
0,2,1,2,5,20,40,20,20,7,0,0,0,0
2,2,0,5,5,100,0,0,0,7,1,7,7,0
0,1,6,13,13,60,10,20,10,7,1,7,7,7
1,3,1,2,8,75,5,5,15,4,7,7,7,2
2,6,1,8,4,30,10,10,50,1,0,0,0,0
4,4,1,1,4,20,10,20,50,7,6,7,3,0
3,6,7,3,10,50,15,20,15,7,7,7,2,8
2,6,1,4,9,30,20,20,30,7,4,5,7,8
0,1,3,5,5,50,50,0,0,3,1,7,1,8
3,1,4,2,1,30,20,20,30,1,8,4,1,0
4,4,1,2,6,40,10,40,10,1,5,4,3,7
4,3,7,2,9,70,15,5,5,3,3,4,4,7
4,4,6,3,2,60,5,30,5,1,7,7,7,7
0,3,1,3,10,50,30,10,10,8,0,0,0,0
0,4,8,5,5,30,10,10,50,8,7,1,3,3
0,3,1,3,5,30,10,15,30,3,7,2,4,6
4,1,3,0,8,30,10,0,60,1,6,3,7,4
4,1,2,1,2,30,10,20,40,3,6,0,0,0
3,3,1,3,3,50,0,0,0,3,1,3,0,0
0,7,8,2,4,10,70,0,20,2,2,4,4,3
0,4,3,2,4,35,15,25,25,3,1,0,0,0
3,6,3,2,5,50,0,0,50,7,6,3,3,0
4,5,3,2,4,50,0,50,0,1,5,0,0,0
0,3,7,3,8,0,20,0,80,7,2,3,0,0
0,6,1,1,2,20,20,20,20,3,2,2,4,0
3,3,1,1,2,70,0,0,30,7,7,3,0,0
3,3,1,10,5,0,50,0,50,2,2,7,4,3
0,4,8,3,5,60,0,0,40,1,0,0,0,0
0,1,4,8,10,55,10,30,5,1,1,7,3,4
3,6,4,3,10,100,0,0,0,3,0,0,0,0
2,4,5,4,6,20,20,40,20,3,5,4,3,1
0,1,5,4,12,30,20,30,20,1,7,4,1,0
0,6,4,2,6,50,20,30,0,1,7,4,0,0
0,4,6,3,3,100,0,0,0,3,7,7,7,3
3,1,2,3,4,70,0,30,0,7,1,1,7,4
0,6,8,1,2,80,0,0,20,1,7,1,3,7
3,4,6,2,8,20,30,10,40,7,7,8,6,2
0,2,3,1,8,60,20,10,10,7,1,0,0,0
0,5,2,3,5,20,0,50,30,5,5,7,1,4
2,2,1,2,12,60,0,0,40,7,3,1,6,8
4,4,3,3,12,10,70,0,20,7,7,1,3,1
4,3,1,1,1,80,0,20,0,4,2,0,0,0
0,4,6,5,8,100,0,0,0,7,0,0,0,0
0,7,0,1,1,20,30,10,10,3,2,4,4,4
2,5,3,4,8,80,10,10,0,3,0,0,0,0
2,4,7,6,5,30,60,0,10,2,2,3,3,7
2,4,7,8,6,25,30,20,25,7,3,4,4,7
0,4,3,3,10,30,50,20,0,2,7,6,2,1
0,6,1,3,5,60,20,10,10,3,7,7,7,7
0,6,1,2,5,10,20,40,30,4,3,4,7,3
0,1,4,2,3,90,0,10,0,1,7,1,0,0
3,4,5,2,6,30,30,20,20,1,2,7,6,4
0,1,7,5,1,20,20,20,40,2,2,5,8,6
0,6,5,4,8,70,0,20,10,3,1,6,7,1
4,1,6,8,16,40,30,0,30,1,6,6,3,3
3,1,7,4,5,30,5,15,50,1,1,4,6,5
3,7,1,2,4,80,0,10,10,1,3,7,3,0
2,6,3,2,6,80,0,0,20,3,3,2,1,0
4,5,4,1,0,5,0,85,10,8,2,3,4,0
2,3,7,3,7,30,50,20,0,7,2,7,1,7
4,7,6,8,10,5,1,3,6,3,7,3,7,0
0,3,1,2,6,30,10,30,0,1,3,3,7,7
0,4,6,3,6,30,40,0,30,2,1,3,0,0
2,7,5,1,1,97,0,1,0,2,2,3,0,0
3,3,4,4,8,50,10,10,30,3,7,4,3,6
0,3,7,3,5,30,20,0,50,6,6,6,7,3
4,3,1,4,4,30,30,10,30,3,1,1,0,0
0,4,2,9,10,90,0,0,10,1,7,7,4,3
4,3,1,4,14,50,30,10,10,2,1,6,4,1
3,1,5,2,4,60,0,40,0,5,1,3,7,7
4,4,3,3,6,30,20,0,50,2,7,1,1,4
0,4,1,1,2,0,100,0,0,1,0,0,0,0
4,7,4,1,4,20,50,0,30,2,3,3,7,2
4,3,4,1,8,70,10,10,10,7,3,1,0,0
2,1,4,3,10,50,20,0,30,6,7,4,3,1
3,7,3,4,6,20,20,40,20,8,6,7,3,1
2,1,6,2,4,95,0,0,5,1,7,7,0,0
4,3,5,2,2,10,10,30,50,3,2,6,6,1
3,4,7,3,4,30,40,10,20,2,2,2,8,6
4,7,4,8,14,30,20,5,40,1,8,6,4,7
4,1,5,3,4,30,20,30,20,4,2,7,6,1
4,5,3,2,5,10,10,30,50,5,6,3,7,3
2,3,1,2,6,10,80,0,10,2,0,0,0,0
3,6,1,2,4,50,0,10,0,1,1,3,6,7
4,4,1,2,3,50,5,10,20,1,6,7,7,4
4,3,7,3,8,70,0,20,10,3,6,7,7,7
4,7,1,4,6,30,20,20,30,7,1,1,3,4
0,8,1,4,4,0,0,0,100,3,1,1,0,0
1,6,4,3,8,40,20,20,20,1,6,3,4,4
0,4,7,3,10,20,50,10,20,2,1,1,7,1
2,3,4,2,2,10,30,20,40,1,7,2,6,3
3,1,3,3,7,50,10,10,30,1,1,7,7,3
0,4,6,5,4,50,0,0,50,3,0,0,0,0
4,3,8,1,4,30,50,0,20,6,4,3,3,3
4,4,6,2,5,50,20,20,10,3,1,3,2,0
2,6,4,2,6,30,10,10,50,1,6,1,3,4
0,6,3,2,2,50,10,10,30,3,7,7,7,7
0,1,8,6,16,50,0,0,50,7,1,7,6,6
2,4,1,5,8,10,40,50,0,4,4,2,4,3
1,1,2,8,9,90,0,10,0,7,3,3,4,1
4,7,3,3,8,20,10,0,70,6,6,2,2,3
3,5,3,2,5,20,0,50,30,4,1,3,6,7
0,3,1,3,12,100,0,0,0,1,1,3,0,0
3,1,3,3,6,50,0,0,50,1,3,6,7,3
0,3,4,10,5,10,0,0,90,7,7,7,0,0
2,6,1,1,8,30,50,0,20,6,1,7,7,3
4,6,2,4,10,0,0,50,50,4,6,6,1,3
2,4,1,1,2,40,0,40,20,3,3,1,0,0
3,3,1,3,10,40,10,0,50,6,4,7,3,6
0,1,3,1,5,80,0,20,0,2,7,3,0,0
0,6,4,12,12,70,10,10,10,1,7,6,7,6
4,7,6,4,12,50,50,0,0,7,2,7,6,1
0,1,7,3,6,10,20,50,20,2,6,0,0,0
0,6,5,2,3,2,20,56,2,2,4,4,4,4
4,1,6,2,6,70,10,10,10,1,7,7,7,6
0,3,0,0,5,50,0,0,50,3,1,2,0,0
0,3,8,3,7,40,10,10,40,8,1,6,0,0
1,3,0,0,3,70,0,0,30,3,0,0,0,0
0,1,3,5,12,100,0,0,0,1,7,7,3,0
0,5,1,2,4,10,30,30,30,4,7,4,4,1
3,2,1,3,10,70,0,0,30,7,7,6,0,0
4,2,4,3,2,50,10,20,20,1,6,7,8,3
0,6,3,3,10,30,0,0,70,6,6,6,1,1
0,7,4,3,5,0,70,10,20,2,7,2,8,4
3,1,4,3,10,30,20,30,20,2,7,3,3,2
4,4,7,9,9,90,10,0,0,1,2,3,7,7
0,3,1,2,10,40,7,50,3,7,4,7,7,7
0,4,7,3,8,60,40,0,0,2,3,3,1,7
0,3,1,3,9,30,0,10,60,1,1,3,7,7
3,3,1,4,4,50,0,0,50,3,3,7,3,3
3,1,3,1,4,20,35,15,30,7,4,3,7,2
3,4,6,4,0,80,20,0,0,1,2,4,0,0
4,7,3,3,2,10,50,30,10,3,2,4,2,1
4,2,4,3,6,30,40,20,10,3,7,2,4,4
4,4,3,2,5,10,40,50,0,4,3,5,0,0
2,1,8,5,10,40,10,10,40,1,7,3,6,6
2,1,4,9,7,60,10,10,20,1,1,7,1,8
0,1,4,5,5,50,0,50,0,1,4,1,1,7
3,4,5,3,5,10,30,30,30,2,6,6,6,3
4,1,6,1,2,60,0,40,0,3,7,2,6,6
0,5,3,5,8,50,5,20,25,1,2,3,7,7
0,4,8,8,8,50,20,0,30,7,7,1,6,6
3,1,7,3,3,60,20,0,20,1,1,2,7,3
3,1,3,2,4,20,20,20,40,7,3,1,7,5
0,4,3,2,5,60,10,10,10,1,0,0,0,0
3,3,1,1,4,50,0,20,30,7,7,7,7,3
4,4,6,0,10,10,50,15,25,2,1,3,0,0
4,1,3,3,12,40,0,30,30,7,1,2,6,4
4,7,1,5,2,10,50,40,0,1,2,4,2,2
2,1,5,2,10,10,50,20,20,2,4,7,4,0
0,4,6,3,6,70,0,10,20,3,6,1,7,7
3,2,3,2,3,50,10,30,10,4,0,0,0,0
2,1,4,4,9,40,30,10,20,1,1,3,6,7
2,1,6,1,2,50,0,0,50,1,2,6,7,0
2,1,4,3,5,40,10,30,20,7,8,7,3,3
4,5,3,1,2,0,0,60,40,1,7,3,0,0
0,1,4,6,16,50,0,50,0,4,0,0,0,0
2,3,1,3,6,60,10,10,20,1,7,4,3,0
4,5,4,1,5,20,80,0,0,2,0,0,0,0
0,4,2,3,10,60,0,0,30,3,7,3,7,0
1,5,7,12,12,95,0,0,5,3,4,1,6,4
2,3,7,2,4,20,80,0,0,2,3,7,1,3
2,1,6,2,2,50,0,10,40,7,3,1,7,7
3,1,4,1,4,70,10,10,10,1,7,7,7,3
2,4,3,0,3,30,50,0,0,3,3,2,7,3
2,4,7,6,7,20,10,10,20,2,2,6,6,3
0,1,4,1,8,50,0,30,20,1,1,7,3,0
0,1,4,8,8,90,0,10,0,3,0,0,0,0
1,7,3,2,6,20,70,0,10,2,6,0,0,0
4,4,8,3,3,40,30,20,10,4,1,6,4,0
3,1,3,2,8,60,0,10,30,1,7,0,0,0
0,7,1,4,4,20,15,40,15,2,2,6,1,3
1,1,4,1,5,50,50,0,0,1,7,7,8,0
0,1,7,10,5,50,10,10,20,3,4,4,0,0
0,4,6,5,12,20,20,10,50,6,7,7,4,8
0,6,7,2,5,50,20,20,10,7,3,7,7,2
2,6,4,2,1,30,60,0,10,1,2,2,1,6
4,8,5,1,6,20,10,0,70,2,1,2,3,3
0,6,3,2,12,30,10,10,20,3,4,0,0,0
3,7,3,5,5,40,30,0,30,2,6,8,7,1
4,1,5,4,6,50,20,0,30,7,2,6,2,6
0,1,3,3,1,10,0,0,90,8,6,0,0,0
3,3,6,3,12,50,20,10,20,1,7,6,0,0
3,3,2,2,4,0,50,0,50,3,3,3,2,0
2,1,7,4,4,20,30,10,20,3,8,2,3,7
0,6,3,2,6,60,20,0,0,3,0,0,0,0
3,3,7,6,10,30,0,10,60,6,8,4,2,2
3,1,4,4,8,20,20,10,40,2,2,6,3,8
0,7,6,2,4,20,10,10,60,3,1,4,3,3
3,4,2,5,8,10,55,30,5,4,1,0,0,0
3,6,1,2,5,100,0,0,0,7,1,7,7,0
3,4,6,3,2,20,40,10,30,2,3,4,3,0
3,1,4,0,10,30,30,10,30,4,4,7,4,3
0,5,4,2,4,20,20,30,30,5,3,7,7,7
4,3,6,2,2,50,30,20,0,5,4,2,4,3
3,1,8,12,8,0,0,0,100,3,2,0,0,0
